"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","22pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C3","1","220uF","","","","Capacitor_SMD:CP_Elec_6.3x5.4","~"
"C4","1","680uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C5,C9,C_out3","3","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C6,C7,C8","3","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C10,C11","2","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D1,D2","2","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"D7","1","1N5408","","","","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88516/1n5400.pdf"
"D8","1","SS34","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88751/ss32.pdf"
"J1","1","CONNECTOR_MOTOR","","","","Connector_JST:JST_VH_B2P-VH_1x02_P3.96mm_Vertical","~"
"J2,J5","2","DE9_Pins_MountingHoles","","","","Connector_Dsub:DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm","~"
"J3","1","Conn_01x05","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J4,J7,J8,J9,J10","5","Conn_01x02_Pin","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"J6","1","Conn_01x02_Pin","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"K1","1","Fujitsu_FTR-LYAA005x","","","","Relay_THT:Relay_1-Form-C_Schrack-RYII_RM3.2mm","https://www.fujitsu.com/sg/imagesgig5/ftr-ly.pdf"
"L1","1","33uH","","","","Inductor_SMD:L_7.3x7.3_H4.5","~"
"Q2,Q3,Q4,Q5,Q6,Q7","6","IRLZ44N","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf"
"R1,R7,R8,R9,R10,R11,R12","7","10K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2,R3","2","680","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R13","1","12O","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R14","1","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R19,R20","2","4.7k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R50","1","0","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"SW1,SW2,SW3,SW4,SW5,SW6","6","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"TP_CANRX1,TP_CANTX1,TP_SCL1,TP_SDA1,TP_UART_RX1,TP_UART_TX1","6","TestPoint","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"U1","1","BH1750FVI-TR","","","","footprints:XDCR_BH1750FVI-TR",""
"U2","1","~","","","","",""
"U4","1","MCP2551-I-SN","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/devicedoc/21667d.pdf"
"U5","1","LM2596S-5","","","","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf"
"U6","1","LM1117MP-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm1117.pdf"
"U7","1","PIC24HJ128GP502","","","","projecte_llums:SOIC127P1030X265-28N",""
"Y1","1","8MHz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","~"
